ANO,MES,ARRECADACAO_ICMS_RJ,CESTA_BASICA_RJ,PETROLEO_PRODUCAO_TOTAL,TOTAL_RECEITA_TRIBUTARIA_RJ,ENERGIA_CONSUMO_TOTAL_SUDESTE
2009.0,11.0,207475781.0,-2.890000000000015,-4.0,206262760.0,200.0
2009.0,12.0,-25606816.0,-15.829999999999984,13.0,-11327618.0,143.0
2010.0,1.0,148285843.0,14.019999999999982,-2.0,473296106.0,-518.0
2010.0,2.0,-256522456.0,7.6200000000000045,19.0,-340611748.0,429.0
2010.0,3.0,69101084.0,10.389999999999986,16.0,23270423.0,409.0
2010.0,4.0,81694812.0,-5.509999999999991,51.0,72672001.0,303.0
2010.0,5.0,474112602.0,-25.67999999999998,-5.0,393094314.0,-585.0
2010.0,6.0,-550354447.0,0.5699999999999648,-31.0,-634196328.0,-27.0
2010.0,7.0,-22788137.0,-2.859999999999985,14.0,-27865683.0,-277.0
2010.0,8.0,72362735.0,13.840000000000003,24.0,65924678.0,721.0
2010.0,9.0,98864625.0,8.879999999999995,-88.0,103555057.0,323.0
2010.0,10.0,214466.0,2.930000000000007,1.0,-8575440.0,-162.0
2010.0,11.0,95842107.0,1.6299999999999955,102.0,107421330.0,-108.0
2010.0,12.0,71534243.0,-11.900000000000006,91.0,104681268.0,596.0
2011.0,1.0,115793232.0,9.250000000000028,-58.0,439523625.0,-58.0
2011.0,2.0,-320113109.0,-12.79000000000002,-62.0,-378316212.0,-30.0
2011.0,3.0,124618576.0,14.0,14.0,68276997.0,173.0
2011.0,4.0,-21828871.0,-15.420000000000016,-24.0,-162099184.0,-22.0
2011.0,5.0,162740879.0,9.480000000000018,21.0,140387190.0,-460.0
2011.0,6.0,-24655678.0,-7.929999999999978,66.0,-61050897.0,-171.0
2011.0,7.0,-209932474.0,-12.350000000000051,-67.0,-213160651.0,-6.0
2011.0,8.0,170177627.0,27.07000000000002,-21.0,160576231.0,517.0
2011.0,9.0,34569728.0,-13.919999999999987,48.0,26333662.0,505.0
2011.0,10.0,-33451650.0,3.4499999999999886,3.0,-44444772.0,-369.0
2011.0,11.0,120736729.0,8.560000000000002,80.0,127676502.0,-6.0
2011.0,12.0,55185341.0,-8.51000000000002,30.0,84956701.0,-81.0
2012.0,1.0,153229037.0,7.600000000000023,15.0,518848798.0,-383.0
2012.0,2.0,-405876678.0,-17.060000000000002,-27.0,-457426892.0,425.0
2012.0,3.0,137962595.0,1.5300000000000296,-120.0,57884582.0,891.0
2012.0,4.0,215753273.0,2.0199999999999534,-63.0,100349813.0,65.0
2012.0,5.0,-112389141.0,13.150000000000034,30.0,-150431910.0,-1051.0
2012.0,6.0,5592182.0,1.4199999999999875,-9.0,-55342730.0,98.0
2012.0,7.0,39967509.0,10.409999999999968,-11.0,23446108.0,-581.0
2012.0,8.0,17075220.0,-8.399999999999977,-22.0,81365903.0,631.0
2012.0,9.0,54492095.0,-17.22999999999996,-88.0,-37757513.0,511.0
2012.0,10.0,-60276004.0,3.5699999999999363,93.0,-43550644.0,-66.0
2012.0,11.0,183499503.0,-21.509999999999934,35.0,176273711.0,648.0
2012.0,12.0,-41897175.0,33.019999999999925,64.0,-12013011.0,-980.0
2013.0,1.0,269030852.0,12.300000000000068,-55.0,742294057.0,584.0
2013.0,2.0,-265624920.0,-19.06000000000006,-35.0,-266326494.0,-315.0
2013.0,3.0,-5157035.0,5.190000000000055,-162.0,-345720641.0,132.0
2013.0,4.0,104465660.0,4.369999999999948,70.0,119316525.0,190.0
2013.0,5.0,-106781016.0,-18.63999999999993,68.0,-212026742.0,-185.0
2013.0,6.0,284422284.0,-5.300000000000068,111.0,260719174.0,-259.0
